"timestamp","light","distance","__dt"
"2021-06-22T08:50:53",,"47.92097","2021-06-22 00:00:00.000"
"2021-06-26T09:30:59",,"31.27148","2021-06-26 00:00:00.000"
"2021-06-26T09:30:59","52.9182",,"2021-06-26 00:00:00.000"
"2021-06-26T09:31:19",,"31.2543","2021-06-26 00:00:00.000"
"2021-06-26T09:31:19","53.5287",,"2021-06-26 00:00:00.000"
"2021-06-23T12:27:48",,"278.7801","2021-06-23 00:00:00.000"
"2021-06-23T12:27:48","67.44811",,"2021-06-23 00:00:00.000"
"2021-06-21T13:36:18",,"51.2543","2021-06-21 00:00:00.000"
"2021-06-21T13:36:18","46.44689",,"2021-06-21 00:00:00.000"
"2021-06-21T13:23:34","58.36386",,"2021-06-21 00:00:00.000"
"2021-06-21T13:23:34",,"58.62543","2021-06-21 00:00:00.000"
"2021-06-21T13:23:55","58.26618",,"2021-06-21 00:00:00.000"
"2021-06-21T13:23:55",,"50.10309","2021-06-21 00:00:00.000"
"2021-06-23T12:22:17","60.4884",,"2021-06-23 00:00:00.000"
"2021-06-23T12:22:17",,"278.7972","2021-06-23 00:00:00.000"
"2021-06-03T20:35:57","100.0",,"2021-06-03 00:00:00.000"
"2021-06-03T20:35:57",,"34.00344","2021-06-03 00:00:00.000"
"2021-06-20T12:03:42","0.0",,"2021-06-20 00:00:00.000"
"2021-06-20T12:03:42",,"37.86942","2021-06-20 00:00:00.000"
"2021-06-20T13:24:46",,"42.71478","2021-06-20 00:00:00.000"
"2021-06-20T13:24:46","31.15995",,"2021-06-20 00:00:00.000"
"2021-06-04T19:54:11",,"8.573883","2021-06-04 00:00:00.000"
"2021-06-04T19:54:11","0.0",,"2021-06-04 00:00:00.000"
"2021-06-11T07:28:13","0.0",,"2021-06-11 00:00:00.000"
"2021-06-11T07:28:13",,"41.39175","2021-06-11 00:00:00.000"
"2021-06-20T13:28:33","40.63492",,"2021-06-20 00:00:00.000"
"2021-06-20T13:28:33",,"38.2646","2021-06-20 00:00:00.000"
"2021-06-20T13:28:54","41.85592",,"2021-06-20 00:00:00.000"
"2021-06-20T13:28:54",,"37.35395","2021-06-20 00:00:00.000"
"2021-06-26T08:54:17","47.27717",,"2021-06-26 00:00:00.000"
"2021-06-26T08:54:17",,"49.55327","2021-06-26 00:00:00.000"
"2021-06-23T12:13:19",,"277.8866","2021-06-23 00:00:00.000"
"2021-06-23T12:13:19","64.12698",,"2021-06-23 00:00:00.000"
"2021-06-20T13:25:48",,"48.21306","2021-06-20 00:00:00.000"
"2021-06-20T13:25:48","32.35653",,"2021-06-20 00:00:00.000"
"2021-06-04T20:04:38","0.0",,"2021-06-04 00:00:00.000"
"2021-06-04T20:04:38",,"1212.079","2021-06-04 00:00:00.000"
"2021-06-04T20:04:59",,"20.4811","2021-06-04 00:00:00.000"
"2021-06-04T20:04:59","0.0",,"2021-06-04 00:00:00.000"
"2021-06-26T08:15:17",,"41.42612","2021-06-26 00:00:00.000"
"2021-06-26T08:15:17","46.49573",,"2021-06-26 00:00:00.000"
"2021-06-20T13:51:38",,"66.47766","2021-06-20 00:00:00.000"
"2021-06-20T13:51:38","0.0",,"2021-06-20 00:00:00.000"
"2021-06-20T13:51:58",,"60.10309","2021-06-20 00:00:00.000"
"2021-06-20T13:51:58","0.0",,"2021-06-20 00:00:00.000"
"2021-06-04T20:07:03","0.0",,"2021-06-04 00:00:00.000"
"2021-06-04T20:07:03",,"3.831615","2021-06-04 00:00:00.000"
"2021-06-04T20:07:23",,"8.092783","2021-06-04 00:00:00.000"
"2021-06-04T20:07:23","0.0",,"2021-06-04 00:00:00.000"
"2021-06-18T12:48:16","0.0",,"2021-06-18 00:00:00.000"
"2021-06-18T12:48:16",,"53.67698","2021-06-18 00:00:00.000"
"2021-06-22T08:42:38",,"59.43299","2021-06-22 00:00:00.000"
"2021-06-22T08:42:38","0.0",,"2021-06-22 00:00:00.000"
"2021-06-22T08:42:58",,"47.97251","2021-06-22 00:00:00.000"
"2021-06-22T08:42:58","0.0",,"2021-06-22 00:00:00.000"
"2021-06-23T12:15:02","62.27106",,"2021-06-23 00:00:00.000"
"2021-06-23T12:15:02",,"278.3162","2021-06-23 00:00:00.000"
"2021-06-23T12:15:23",,"277.8866","2021-06-23 00:00:00.000"
"2021-06-23T12:15:23","61.9536",,"2021-06-23 00:00:00.000"
"2021-06-21T13:01:11","53.4066",,"2021-06-21 00:00:00.000"
"2021-06-21T13:01:11",,"50.25774","2021-06-21 00:00:00.000"
"2021-06-26T08:17:01",,"39.39862","2021-06-26 00:00:00.000"
"2021-06-26T08:17:01","44.56655",,"2021-06-26 00:00:00.000"
"2021-06-26T08:17:21","44.76191",,"2021-06-26 00:00:00.000"
"2021-06-26T08:17:21",,"47.92097","2021-06-26 00:00:00.000"
"2021-06-03T20:37:40",,"33.95189","2021-06-03 00:00:00.000"
"2021-06-03T20:37:40","100.0",,"2021-06-03 00:00:00.000"
"2021-06-22T09:16:36",,"44.43299","2021-06-22 00:00:00.000"
"2021-06-22T09:16:36","0.0",,"2021-06-22 00:00:00.000"
"2021-06-22T09:16:57","0.0",,"2021-06-22 00:00:00.000"
"2021-06-22T09:16:57",,"40.34364","2021-06-22 00:00:00.000"
"2021-06-23T12:21:36",,"277.4914","2021-06-23 00:00:00.000"
"2021-06-23T12:21:36","59.73138",,"2021-06-23 00:00:00.000"
"2021-06-23T12:21:56",,"278.7801","2021-06-23 00:00:00.000"
"2021-06-23T12:21:56","60.14652",,"2021-06-23 00:00:00.000"
"2021-06-22T09:39:42",,"40.27492","2021-06-22 00:00:00.000"
"2021-06-22T09:39:42","0.0",,"2021-06-22 00:00:00.000"
"2021-06-20T10:10:12",,"59.86254","2021-06-20 00:00:00.000"
"2021-06-20T10:10:12","0.0",,"2021-06-20 00:00:00.000"
"2021-06-22T09:33:30",,"61.66667","2021-06-22 00:00:00.000"
"2021-06-22T09:33:30","0.0",,"2021-06-22 00:00:00.000"
"2021-06-22T09:33:51",,"39.67354","2021-06-22 00:00:00.000"
"2021-06-22T09:33:51","0.0",,"2021-06-22 00:00:00.000"
"2021-06-21T13:28:03","46.56898",,"2021-06-21 00:00:00.000"
"2021-06-21T13:28:03",,"50.46392","2021-06-21 00:00:00.000"
"2021-06-21T13:28:23",,"50.39519","2021-06-21 00:00:00.000"
"2021-06-21T13:28:23","45.68986",,"2021-06-21 00:00:00.000"
"2021-06-26T09:03:14","40.07326",,"2021-06-26 00:00:00.000"
"2021-06-26T09:03:14",,"25.94502","2021-06-26 00:00:00.000"
"2021-06-20T12:24:43","0.0",,"2021-06-20 00:00:00.000"
"2021-06-20T12:24:43",,"35.7732","2021-06-20 00:00:00.000"
"2021-06-22T09:25:14","0.0",,"2021-06-22 00:00:00.000"
"2021-06-22T09:25:14",,"24.72509","2021-06-22 00:00:00.000"
"2021-06-20T12:13:00","0.0",,"2021-06-20 00:00:00.000"
"2021-06-20T12:13:00",,"29.72509","2021-06-20 00:00:00.000"
"2021-06-20T12:13:21",,"31.28866","2021-06-20 00:00:00.000"
"2021-06-20T12:13:21","0.0",,"2021-06-20 00:00:00.000"
"2021-06-10T14:47:05",,"38.64261","2021-06-10 00:00:00.000"
"2021-06-10T14:47:05","35.70208",,"2021-06-10 00:00:00.000"
"2021-06-10T14:47:26","35.62881",,"2021-06-10 00:00:00.000"
"2021-06-10T14:47:26",,"52.8866","2021-06-10 00:00:00.000"
"2021-06-20T10:17:46",,"37.78351","2021-06-20 00:00:00.000"
"2021-06-20T10:17:46","0.0",,"2021-06-20 00:00:00.000"
"2021-06-21T12:49:34","0.0",,"2021-06-21 00:00:00.000"
